url,isBad
# COVID19 Cyber Threat Coalition blocklist | www.cyberthreatcoalition.org | IOCs has been vetted by humans with love <3
http://07q6zf664zv.mceco.co,TRUE
http://109.236.109.159:8080/vnx8v,TRUE
http://185.140.53.134:7776,TRUE
http://185.234.73.125/wMB03o/Wx9u79.php,TRUE
http://185.242.104.197/wzjd,TRUE
http://185.242.104.197/wzjd/,TRUE
http://185.242.104.197/wzjd/Barone.exe,TRUE
http://185.242.104.197/wzjd/Covid19-UPDATE_PDF.exe,TRUE
http://185.242.104.197/wzjd/Kelly.exe,TRUE
http://185.242.104.197/wzjd/out-1429065212.hta,TRUE
http://185.244.30.4,TRUE
http://185.62.188.204/hunt/post/corona.exe,TRUE
http://186.10.98.177/faHtH2y,TRUE
http://192.169.69.25:5626,TRUE
http://192.3.31.212/TickCountnrKDyhvMKK.exe,TRUE
http://195.130.73.229/php/hhs,TRUE
http://195.130.73.229/php/hhs/,TRUE
http://195.130.73.229/php/hhs/document.zip,TRUE
http://198.23.200.241/~power13/.xoiaspxo/fre.php,TRUE
http://19covid-gouv12.com/,TRUE
http://209.141.54.161/crypt18.dll,TRUE
http://209.141.54.161/crypt18.dll.,TRUE
http://216.170.123.111/filenew.exe,TRUE
http://45.128.132.55/8YrPpA/M6vtj8.php,TRUE
http://45.128.134.14/C821al/vc2Tmy.php,TRUE
http://45.81.226.17:6677/IRemotePanel,TRUE
http://464004iiq76.waxcapital.net?e=user@domain.com,TRUE
http://5.188.60.131/a6Y5Qy3cF1sOmOKQ/gate.php,TRUE
http://68.168.222.206/logos.gif,TRUE
http://85.96.49.152/6oU9ipBIjTSU1,TRUE
http://91.234.99.234/Corona.arm6,TRUE
http://91.234.99.234/Corona.m68k,TRUE
http://91.234.99.234/Corona.mips,TRUE
http://91.234.99.234/Corona.mipsel,TRUE
http://91.234.99.234/Corona.ppc,TRUE
http://91.234.99.234/Corona.sh,TRUE
http://91.234.99.234/Corona.sh4,TRUE
http://91.234.99.234/Corona.x86_64,TRUE
http://academydea.com/alhaji/Panel/five/fre.php,TRUE
http://airbnb.id-covid19.com/update/login.php,TRUE
http://antivirus-covid19.site/update.exe,TRUE
http://ashgroveaccountant.com.au/olk/files/329842cc36c4c16c62ad2ae644af0a37.php,TRUE
http://ashgroveaccountant.com.au/olk/files/41181b459134cf4f582f6876088a9aef.php,TRUE
http://autocarsalonmobil.com/wp-content/uploads/Internetsonline.txt,TRUE
http://babystophouse.com/images/logo.gif,TRUE
http://bendes.co.uk/lmpUNlwDfoybeulu/gate.xn--php-9o0a.,TRUE
http://bookdocument.ir/Covid-19/,TRUE
http://bookdocument.ir/Covid-19/COVID-19/index.php,TRUE
http://botduke1.ug/,TRUE
http://botduke1.ug/gate.php,TRUE
http://botduke1.ug/index.php,TRUE
http://botnew.ug/,TRUE
http://bralibuda.com,TRUE
http://brinchil.xyz,TRUE
http://brokenservices.xyz/Broken/PvqDq929BSx_A_D_M1n_a.php,TRUE
http://brokenservices.xyz/James/PvqDq929BSx_A_D_M1n_a.php,TRUE
http://bslines.xyz/copy/five/fre.php,TRUE
http://business-facebook-covid19.com/,TRUE
http://casecorona.fun/,TRUE
http://chase7-covid.com/home/myaccount/,TRUE
http://chasecovid19t.com/,TRUE
http://corona-betaalpas-rabo.xyz/,TRUE
http://corona-masr21.com/,TRUE
http://corona-masr41.com/,TRUE
http://corona-masr5.com/,TRUE
http://corona-skins.fun/,TRUE
http://coronacovid19information.online/,TRUE
http://covid-19-uk-relieve.com/,TRUE
http://covid-19.bdtime.news/directing/desjardins/identifiantunique/questions.php,TRUE
http://covid-19.bdtime.news/directing/www.cibc.mobi/ebm-mobile-anp/account.php,TRUE
http://covid-19.bdtime.news/directing/www.cibc.mobi/ebm-mobile-anp/accountConfirm.php,TRUE
http://covid19i-ch4ase.com/,TRUE
http://covid19video.offroadpcservice.com/,TRUE
http://cpcalendars.19covid-gouv12.com/,TRUE
http://cpcalendars.amazon-support-service.dasarcoronagoblok.com/,TRUE
http://cpcalendars.covid19i-ch4ase.com/,TRUE
http://cpcalendars.impots-covid19.com/,TRUE
http://cpcalendars.runescape-covid19.info/,TRUE
http://cpcontacts.19covid-gouv12.com/,TRUE
http://cpcontacts.amazon-support-service.dasarcoronagoblok.com/,TRUE
http://cpcontacts.covid19i-ch4ase.com/,TRUE
http://cpcontacts.runescape-covid19.info/,TRUE
http://crphone.mireene.com/plugin/editor/,TRUE
http://crphone.mireene.com/plugin/editor/Templates/,TRUE
http://crphone.mireene.com/plugin/editor/Templates/normal.php?name=web,TRUE
http://datalinksol.com/logo.gif,TRUE
http://deraelous.com,TRUE
http://dewakartu.info/wp-includes/BRVMFYvIR/,TRUE
http://dewarejeki.info/wp-includes/up58jauc-pum2w-630352/,TRUE
http://domainnational.com.au/olk/files/287d05dc37e2d92f5d56ad95fbf15aa7.php,TRUE
http://domainnational.com.au/olk/files/42d6dda197fc1078b557035900e9970b.php,TRUE
http://dopconverion.ru/covid/zombie.jar,TRUE
http://drhuzaifa.com/wp-includes/2i48k7-evv28gw-205510/,TRUE
http://droptop1.com:2500,TRUE
http://droptop10.com:2500,TRUE
http://droptop2.com:2500,TRUE
http://droptop3.com:2500,TRUE
http://droptop4.com:2500,TRUE
http://droptop5.com:2500,TRUE
http://droptop6.com:2500,TRUE
http://droptop7.com:2500,TRUE
http://droptop8.com:2500,TRUE
http://droptop9.com:2500,TRUE
http://dubar.com.br/covid/doc84637456364/app/signin,TRUE
http://easydatatransfercleansystemprofessional.duckdns.org/intel/vbc.exe,TRUE
http://easytogets.com/,TRUE
http://easytogets.com/xfxvqq/UXbKAbm/,TRUE
http://edirneli.net/tr/logo.gif,TRUE
http://email.gov.in.maildrive.email/?att=1579160420,TRUE
http://email.gov.in.maildrive.email/?att=1581914657,TRUE
http://emrahkucukkapdan.com/img/button.gif,TRUE
http://erasmus-plius.tomasjs.com/,TRUE
http://erasmus-plius.tomasjs.com/wp-admin/KfesPCcG/,TRUE
http://euromopy.tech/etty/black/download/fre.php,TRUE
http://eviayoghurt.com.au/olk/files/6924a4c7115cd2f78605ab3762f20bcd.php,TRUE
http://gardapalace.it/logo.gif,TRUE
http://getegroup.com/file.exe,TRUE
http://glamfromeast.com/image/logo.gif,TRUE
http://gocycle.com.au/cdcgov/files/,TRUE
http://gocycle.com.au/cdcgov/files/4c9a89572b69c757f621cff797be4750.php,TRUE
http://gocycle.com.au/cdcgov/files/ebfc9fd85b4b1d6ce72320e751247bb7.php,TRUE
http://greferezud.com,TRUE
http://gubg.pro/cdcgov/files/0a05babc0bdf4eb33bb639262c2b0d17.php,TRUE
http://gubg.pro/cdcgov/files/7531bceafaf8fbd1867ff32360c0f1c5.php,TRUE
http://gubg.pro/cdcgov/files/9e588b79840e35dc35c3efd4fd5c8b0e.php,TRUE
http://hakimconsultancy.org/who/files/06a29f40223df2d509e6805d18aaf8cf.php,TRUE
http://healing-yui223.com/cd.php,TRUE
http://helpcoronacare.com/,TRUE
http://hidroservbistrita.ro/images/logo.gif,TRUE
http://interacservcovid-19.com/,TRUE
http://kbfvzoboss.bid/alien/fre.php,TRUE
http://krt1.site/,TRUE
